shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2710128,47.19923040,-1.50023062,21461
2710128,47.19941241,-1.49746866,21462
2710128,47.19941241,-1.49746866,21471
2710128,47.19972366,-1.49352665,21472
2710128,47.19972366,-1.49352665,21481
2710128,47.19635756,-1.49183227,21482
2710128,47.19635756,-1.49183227,21491
2710128,47.19434794,-1.48997084,21492
2710128,47.19434794,-1.48997084,21501
2710128,47.19239539,-1.49181313,21502
2710128,47.19239539,-1.49181313,21511
2710128,47.19048206,-1.48705207,21512
2710128,47.19048206,-1.48705207,21521
2710128,47.18790462,-1.48330089,21522
2710128,47.18790462,-1.48330089,21531
2710128,47.18707788,-1.47835377,21532
2710128,47.18707788,-1.47835377,21541
2710128,47.18925961,-1.47229979,21542
2710128,47.18925961,-1.47229979,21551
2710128,47.18880328,-1.46975714,21552
2710128,47.18880328,-1.46975714,21561
2710128,47.18817306,-1.46429570,21562
2710128,47.18817306,-1.46429570,21571
2710128,47.18687453,-1.45997600,21572
2710128,47.18687453,-1.45997600,21581
2710128,47.19107150,-1.46106640,21582
2710128,47.19107150,-1.46106640,21591
2710128,47.19409604,-1.46220589,21592
2710128,47.19409604,-1.46220589,21601
2710128,47.19778397,-1.45414308,21602
2810110,47.19637136,-1.54257398,22001
2810110,47.19688716,-1.54062925,22002
2810110,47.19688716,-1.54062925,22011
2810110,47.19930942,-1.53287597,22012
2810110,47.19930942,-1.53287597,22021
2810110,47.19912115,-1.52506580,22022
2810110,47.19912115,-1.52506580,22031
2810110,47.19956291,-1.51994400,22032
2810110,47.19956291,-1.51994400,22041
2810110,47.19872011,-1.51552255,22042
2810110,47.19872011,-1.51552255,22051
2810110,47.19503280,-1.50997182,22052
2810110,47.19503280,-1.50997182,22061
2810110,47.19393956,-1.50764703,22062
2810110,47.19393956,-1.50764703,22071
2810110,47.19492160,-1.50520704,22072
2810110,47.19492160,-1.50520704,22081
2810110,47.19602177,-1.50462533,22082
2810110,47.19602177,-1.50462533,22091
2810110,47.19394244,-1.49945517,22092
2810110,47.19394244,-1.49945517,22101
2810110,47.19229235,-1.49761927,22102
2810110,47.19229235,-1.49761927,22111
2810110,47.19026089,-1.49641680,22112
2810110,47.19026089,-1.49641680,22121
2810110,47.18699783,-1.49433357,22122
2810110,47.18699783,-1.49433357,22131
2810110,47.18394946,-1.49662542,22132
2810110,47.18394946,-1.49662542,22141
2810110,47.18007484,-1.49938620,22142
2810110,47.18007484,-1.49938620,22151
2810110,47.17990156,-1.50188360,22152
2810110,47.17990156,-1.50188360,22161
2810110,47.18053688,-1.50443900,22162
2810110,47.18053688,-1.50443900,22171
2810110,47.18007484,-1.49938620,22172
2810110,47.18007484,-1.49938620,22181
2810110,47.17639742,-1.50163238,22182
2810110,47.17639742,-1.50163238,22191
2810110,47.17526907,-1.49494731,22192
2810110,47.17526907,-1.49494731,22201
2810110,47.17455019,-1.48948053,22202
2810110,47.17455019,-1.48948053,22211
2810110,47.17308163,-1.48488496,22212
2810110,47.17308163,-1.48488496,22221
2810110,47.17300614,-1.47629459,22222
2810110,47.17300614,-1.47629459,22231
2810110,47.17268334,-1.47244142,22232
2810110,47.17268334,-1.47244142,22241
2810110,47.17100393,-1.46875604,22242
2810110,47.17100393,-1.46875604,22251
2810110,47.16920963,-1.47126986,22252
2811111,47.16885458,-1.47111255,22271
2811111,47.16941272,-1.46785057,22272
2811111,47.16941272,-1.46785057,22281
2811111,47.17154304,-1.46879436,22282
2811111,47.17154304,-1.46879436,22291
2811111,47.17277319,-1.47244781,22292
